dataset,percent-heldout,seed,transfer,raw,target_only
log_GDSC_CTD2,80,9,0.7258345750433192,0.48679368197419987,0.6775043464653886
log_GDSC_REP,20,0,0.8757050077451298,0.5014663366573875,0.8697156201061719
log_GDSC_REP,20,1,0.8851595397080767,0.5215511332552212,0.8750080511979907
log_GDSC_REP,20,2,0.8792306696439968,0.5137116031802852,0.8756487862658332
log_GDSC_REP,20,3,0.8710354855869148,0.5031901579613277,0.8680489511847882
log_GDSC_REP,20,4,0.8675323475429021,0.5088517470183948,0.8551808281895596
log_GDSC_REP,20,5,0.8860313658897919,0.5073945535580994,0.8683217645816128
log_GDSC_REP,20,6,0.8792803922974743,0.5332653601722502,0.8707361205331563
log_GDSC_REP,20,7,0.8803586013175434,0.4963600041681056,0.8695357678662904
log_GDSC_REP,20,8,0.8738547538753296,0.5393870017463358,0.8656227507825273
log_GDSC_REP,20,9,0.8746399974398826,0.5133381677376954,0.8726578467567474
log_GDSC_REP,40,0,0.8673355813113033,0.5037365833137665,0.8660825020957724
log_GDSC_REP,40,1,0.8695565637499553,0.5139921709391,0.8603376550830985
log_GDSC_REP,40,2,0.8684651879763609,0.5160119476459507,0.8641579016858745
log_GDSC_REP,40,3,0.8587867407841056,0.5111979572965325,0.8607971017187354
log_GDSC_REP,40,4,0.8615612399701141,0.5078741637007955,0.8534038919346145
log_GDSC_REP,40,5,0.868281103242082,0.5083296272140555,0.8611181314319323
log_GDSC_REP,40,6,0.8650919189802602,0.5220533766520266,0.850131126001642
log_GDSC_REP,40,7,0.8645975277642654,0.5130471917575739,0.8535188533244572
log_GDSC_REP,40,8,0.8682152721492987,0.5220904939746339,0.8564945429814486
log_GDSC_REP,40,9,0.8748968319943833,0.5140485489335075,0.8645122178660045
log_GDSC_REP,60,0,0.8561454846458624,0.5142409771177333,0.8535392882063895
log_GDSC_REP,60,1,0.8526236203160874,0.5124866594418173,0.8403646770542031
log_GDSC_REP,60,2,0.8616086199141021,0.5120528383021375,0.8519927240848835
log_GDSC_REP,60,3,0.8529953616335175,0.5164388043628692,0.8473474985409243
log_GDSC_REP,60,4,0.8485813798942118,0.5151149298464986,0.8382991968949477
log_GDSC_REP,60,5,0.8575335638341102,0.5123707355574219,0.846965123230821
log_GDSC_REP,60,6,0.8586843016040525,0.516357534639244,0.8514772442519591
log_GDSC_REP,60,7,0.8575010452811386,0.5116743797617441,0.8475869543740386
log_GDSC_REP,60,8,0.8576287210587135,0.5157458812937354,0.8374094311144277
log_GDSC_REP,60,9,0.8587684513327768,0.5131235738483068,0.8439032458817436
log_GDSC_REP,80,0,0.8299478059435186,0.5114700318867387,0.8060030315628152
log_GDSC_REP,80,1,0.8297062485239871,0.5106156336808771,0.7929959587179783
log_GDSC_REP,80,2,0.8356311251315247,0.5086297149438439,0.803978624296744
log_GDSC_REP,80,3,0.8299848571596455,0.514140192933652,0.789711290385395
log_GDSC_REP,80,4,0.8342170286198904,0.5087766197004905,0.7914350255277312
log_GDSC_REP,80,5,0.8278188430938659,0.51230089019097,0.8134397370678526
log_GDSC_REP,80,6,0.8288378744489604,0.513976774178329,0.7834097685170577
log_GDSC_REP,80,7,0.8332444816150085,0.5117203587839769,0.7849925983986731
log_GDSC_REP,80,8,0.8337232007505112,0.5101543267734888,0.7978934821164868
log_GDSC_REP,80,9,0.8386908074246057,0.510059548389378,0.802219396938548
log_CTD2_REP,20,0,0.8767321275350416,0.49714303288969725,0.8697156201061719
log_CTD2_REP,20,1,0.8792678123700988,0.5075244433979923,0.8750080511979907
log_CTD2_REP,20,2,0.8791535592332133,0.5184391695871661,0.8756487862658332
log_CTD2_REP,20,3,0.878817308389586,0.508335268666556,0.8680489511847882
log_CTD2_REP,20,4,0.8723085782985239,0.5065411243373472,0.8551808281895596
log_CTD2_REP,20,5,0.8849136565402741,0.4827883546324769,0.8683217645816128
log_CTD2_REP,20,6,0.8845061997388386,0.4921667797290271,0.8707361205331563
log_CTD2_REP,20,7,0.8745536514010742,0.5061473469657206,0.8695357678662904
log_CTD2_REP,20,8,0.8775229229585848,0.5001985010635885,0.8656227507825273
log_CTD2_REP,20,9,0.8750305001972961,0.5031978628398287,0.8726578467567474
log_CTD2_REP,40,0,0.8758325723563034,0.49688086030593265,0.8660825020957724
log_CTD2_REP,40,1,0.8741231700346784,0.5075272735843911,0.8603376550830985
log_CTD2_REP,40,2,0.8773844584543422,0.5115592367087337,0.8641579016858745
log_CTD2_REP,40,3,0.8700970778755377,0.504892724679909,0.8607971017187354
log_CTD2_REP,40,4,0.8685335077279185,0.504823288466974,0.8534038919346145
log_CTD2_REP,40,5,0.8693172166850841,0.49788823579745256,0.8611181314319323
log_CTD2_REP,40,6,0.8716399011176911,0.4988313077207121,0.850131126001642
log_CTD2_REP,40,7,0.8723977192597131,0.5068010246732927,0.8535188533244572
log_CTD2_REP,40,8,0.8731531874476808,0.4910118845935477,0.8564945429814486
log_CTD2_REP,40,9,0.8785845746305708,0.5034834369325942,0.8645122178660045
log_CTD2_REP,60,0,0.8633473065466103,0.5064914322517854,0.8535392882063895
log_CTD2_REP,60,1,0.8578336321233443,0.5053532933506227,0.8403646770542031
log_CTD2_REP,60,2,0.8654778359993164,0.5081032884913619,0.8519927240848835
log_CTD2_REP,60,3,0.8643945960429762,0.5066703308007044,0.8473474985409243
log_CTD2_REP,60,4,0.8599353951296524,0.49811713697821197,0.8382991968949477
log_CTD2_REP,60,5,0.860608790314706,0.5006731096276335,0.846965123230821
