Study,Group,Drug,Control,MID,V0,V,duration,V/V0,V/V0_sm,V/V0_cen,C0,V/C0,V/C0_sm,V/C0_cen,lg_V/C0,lg_V/C0_sm,lg_V/C0_cen,log_V/V0,log_V/V0_sm,log_V/V0_cen
TM00203_1,Group 1 IV D5W,D5W,1.0,801-26,150.06,331.63,29.0,2.209982673597228,2.1829899220664744,0.026992751530753534,129.77374999999998,2.555447461447327,2.1986245292287543,0.35682293221857275,0.9382273400038335,0.6835338351377,0.2546935048661334,1.1440350588414383,1.0398396992214245,0.1041953596200138
TM00203_1,Group 1 IV D5W,D5W,1.0,801-43,152.4,239.97,29.0,1.5746062992125984,2.1829899220664744,-0.6083836228538759,129.77374999999998,1.8491412939827974,2.1986245292287543,-0.3494832352459569,0.6147213659174169,0.6835338351377,-0.06881246922028317,0.6549911548504533,1.0398396992214245,-0.38484854437097116
TM00203_1,Group 1 IV D5W,D5W,1.0,801-45,99.34,378.71,29.0,3.8122609220857657,2.1829899220664744,1.6292710000192914,129.77374999999998,2.9182326934376177,2.1986245292287543,0.7196081642088634,1.0709781910739113,0.6835338351377,0.3874443559362113,1.9306468648189172,1.0398396992214245,0.8908071655974927
TM00203_1,Group 1 IV D5W,D5W,1.0,801-46,88.83,94.17,29.0,1.060114826072273,2.1829899220664744,-1.1228750959942013,129.77374999999998,0.7256475211666459,2.1986245292287543,-1.4729770080621085,-0.32069089008945156,0.6835338351377,-1.0042247252271517,0.08422053840456153,1.0398396992214245,-0.9556191608168629
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-01,200.57,386.07,29.0,1.9248641372089546,2.0074433163443812,-0.08257917913542667,129.77374999999998,2.974946782380875,1.9562604147603042,1.0186863676205706,1.0902261505622597,0.6143052083055062,0.4759209422567535,0.9447566195778445,0.9534678361003344,-0.00871121652248985
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-09,123.84,171.21,29.0,1.3825096899224807,2.0074433163443812,-0.6249336264219005,129.77374999999998,1.3192960826053037,1.9562604147603042,-0.6369643321550005,0.27709832360530307,0.6143052083055062,-0.3372068847002031,0.4672895922531963,0.9534678361003344,-0.4861782438471381
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-10,147.56,281.23,29.0,1.9058687991325562,2.0074433163443812,-0.10157451721182498,129.77374999999998,2.167079243683719,1.9562604147603042,0.21081882892341497,0.7733802902675805,0.6143052083055062,0.15907508196207432,0.9304488068890773,0.9534678361003344,-0.02301902921125709
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-19,113.09,298.57,29.0,2.640109647183659,2.0074433163443812,0.6326663308392777,129.77374999999998,2.3006964043190554,1.9562604147603042,0.3444359895587512,0.833211861591678,0.6143052083055062,0.21890665328617187,1.4005978478273657,0.9534678361003344,0.4471300117270314
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-27,96.82,255.21,29.0,2.6359223300970878,2.0074433163443812,0.6284790137527065,129.77374999999998,1.9665764455446502,1.9562604147603042,0.010316030784345953,0.6762941860444793,0.6143052083055062,0.06198897773897316,1.3983078606211434,0.9534678361003344,0.44484002452080906
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-29,89.18,213.58,29.0,2.3949315990132316,2.0074433163443812,0.3874882826688504,129.77374999999998,1.6457873799593528,1.9562604147603042,-0.31047303480095145,0.4982189201319759,0.6143052083055062,-0.11608628817353028,1.259984452131142,0.9534678361003344,0.3065166160308077
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-38,101.48,117.95,29.0,1.1622979897516752,2.0074433163443812,-0.845145326592706,129.77374999999998,0.9088895096273324,1.9562604147603042,-1.0473709051329718,-0.09553174375773928,0.6143052083055062,-0.7098369520632455,0.2169799940628857,0.9534678361003344,-0.7364878420374487
TM00203_1,Group 2 IV Docetaxel,Docetaxel,0.0,801-40,152.58,307.15,29.0,2.0130423384454055,2.0074433163443812,0.005599022101024254,129.77374999999998,2.366811469962146,1.9562604147603042,0.41055105520184165,0.861543677998513,0.6143052083055062,0.24723846969300678,1.0093775154400206,0.9534678361003344,0.05590967933968627
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_10,123.85,558.95,28.0,4.51312071053694,3.8377570744435303,0.6753636360934099,161.751,3.455620057990368,3.8105544942535126,-0.35493443626314436,1.2400019079742193,1.1594960450163545,0.08050586295786477,2.1741253662224738,1.7679865626892812,0.40613880353319254
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_15,184.31,1230.04,28.0,6.673756171667299,3.8377570744435303,2.8359990972237688,161.751,7.604527947276987,3.8105544942535126,3.793973453023474,2.0287438524207766,1.1594960450163545,0.8692478074044221,2.7384989780466986,1.7679865626892812,0.9705124153574174
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_21,245.24,726.64,28.0,2.96297504485402,3.8377570744435303,-0.8747820295895101,161.751,4.492336987097452,3.8105544942535126,0.6817824928439391,1.5023730534518425,1.1594960450163545,0.34287700843548796,1.5670464755003555,1.7679865626892812,-0.20094008718892575
