Study,Group,Drug,Control,MID,Day,Size
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,8.0,107.91
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,11.0,42.85
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,15.0,28.36
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,18.0,37.14
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,22.0,38.48
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_46,25.0,32.9
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,-1.0,131.85
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,1.0,144.48
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,4.0,101.03
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,8.0,86.56
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,11.0,83.07
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,15.0,76.54
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,18.0,38.01
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,22.0,30.55
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_47,25.0,39.23
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,1.0,81.32
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,4.0,72.89
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,8.0,79.53
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,11.0,48.02
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,15.0,32.06
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,18.0,36.85
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_49,22.0,15.38
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,-1.0,115.67
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,1.0,125.95
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,4.0,107.22
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,8.0,62.16
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,11.0,36.4
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,15.0,14.13
TM00097,Group 3 Cisplatin IV,Cisplatin,0.0,077_56,18.0,18.15
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,-1.0,148.7
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,4.0,184.88
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,8.0,212.41
