MID,Sample,Drug,start_vol,end_vol,duration,V_V0,log(V_V0+1)
147,HCI-001,Vehicle,86.2125,1622.016,31.0,18.814162679425838,4.308460097077749
148,HCI-001,Vehicle,100.719,3168.4,31.0,31.457818286519924,5.020494124563754
149,HCI-002,Vehicle,123.0,2884.0,32.0,23.447154471544714,4.611594647234763
150,HCI-002,Vehicle,167.0,2780.0,32.0,16.646706586826348,4.141327052649948
151,HCI-002,Vehicle,167.0,2145.0,32.0,12.844311377245509,3.7912213900266267
152,HCI-002,Vehicle,148.0,1600.0,32.0,10.81081081081081,3.5620361038716486
153,HCI-002,Vehicle,155.0,2080.0,28.0,13.419354838709678,3.849934710796443
154,HCI-019,Vehicle,94.77,912.87,31.0,9.632478632478634,3.410406050547198
155,HCI-019,Vehicle,73.008,826.5625,31.0,11.321533256629412,3.623109886967344
156,HCI-019,Vehicle,114.873,1313.83,31.0,11.437239386104654,3.6365943901666724
157,HCI-019,Vehicle,94.08,380.7,31.0,4.04655612244898,2.335299197770956
158,HCI-019,Vehicle,91.854,1187.5,28.0,12.928125068042764,3.7999291577732586
159,HCI-012,Vehicle,73.008,668.367,31.0,9.154709072978303,3.3440770026667983
160,HCI-012,Vehicle,111.6,1068.793,31.0,9.576998207885303,3.4028583381171953
161,HCI-012,Vehicle,78.75,896.896,31.0,11.389155555555554,3.6310059516693323
162,HCI-012,Vehicle,113.4,1930.6125,31.0,17.024801587301585,4.1719114735994225
163,HCI-012,Vehicle,126.852,2409.264,21.0,18.992715920915714,4.321402563942711
164,HCI-023,Vehicle,148.104,396.9,32.0,2.679873602333495,1.8796562129077283
165,HCI-023,Vehicle,117.74,359.856,32.0,3.0563614744351963,2.020186220915781
166,HCI-023,Vehicle,136.462,287.086,32.0,2.1037798068326716,1.6340262112432586
167,HCI-023,Vehicle,160.55,827.904,32.0,5.156673933354095,2.6221511632923606
168,HCI-023,Vehicle,111.012,576.3565,32.0,5.19183962094188,2.6303681037387303
169,HCI-015,RO4929097,81.3418704872447,107.912020632881,21.0,1.3266478873239431,1.2182528911690906
