Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
3.0,Docetaxel,,M1,HCI-023,232.90092,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Docetaxel,,M1,HCI-023,172.0128,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Docetaxel,,M1,HCI-023,181.3,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Docetaxel,,M1,HCI-023,109.6515,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Docetaxel,,M1,HCI-023,86.633576,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Docetaxel,,M1,HCI-023,87.005184,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Docetaxel,,M2,HCI-023,180.565,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Docetaxel,,M2,HCI-023,234.519704,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Docetaxel,,M2,HCI-023,169.672086,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Docetaxel,,M2,HCI-023,132.5001645,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Docetaxel,,M2,HCI-023,111.392,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Docetaxel,,M2,HCI-023,74.646275,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Docetaxel,,M2,HCI-023,58.583424,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Vehicle,,M0,HCI-023,217.9561,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Vehicle,,M0,HCI-023,203.4722025,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Vehicle,,M0,HCI-023,253.345152,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Vehicle,,M0,HCI-023,291.594775,43018_2022_337_MOESM7_ESM.xlsx,6f top left
